|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Hidden Context ActAvg,#Music Hidden ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,0,1.588,0.2173,1,0,0.0192,0.3025,0.1715,0.1974,0.1204,0.15,0.1834,0.1715,0.15
0,1,1.274,0.1744,1,0,0.1556,0.3136,0.1733,0.1935,0.1179,0.15,0.1858,0.1733,0.15
0,2,0.958,0.132,1,0,0.3308,0.3235,0.1749,0.1901,0.1158,0.15,0.1879,0.1749,0.15
0,3,0.9735,0.1322,1,0,0.2932,0.3325,0.1763,0.1865,0.1138,0.15,0.1899,0.1763,0.15
0,4,0.9481,0.1335,1,0,0.2515,0.3407,0.1777,0.183,0.112,0.15,0.1918,0.1777,0.15
0,5,0.5529,0.07544,1,0,0.6041,0.3547,0.1788,0.1778,0.1089,0.15,0.1935,0.1799,0.15
0,6,0.364,0.04825,0.8,0.2,0.7577,0.3608,0.1799,0.1749,0.1076,0.15,0.195,0.1809,0.15
0,7,0.6385,0.09076,0.9,0.1,0.5493,0.3662,0.1809,0.1719,0.1064,0.15,0.1964,0.1817,0.15
0,8,0.347,0.05288,0.8,0.2,0.701,0.3711,0.1817,0.1692,0.1053,0.15,0.1977,0.1825,0.15
0,9,0.5036,0.08463,0.8,0.2,0.5903,0.3756,0.1825,0.1668,0.1043,0.15,0.1988,0.1832,0.15
0,10,0.4312,0.06784,0.9,0.1,0.6522,0.3833,0.1832,0.1629,0.1026,0.15,0.1998,0.1845,0.15
0,11,0.4002,0.06634,0.5,0.5,0.6701,0.3866,0.1839,0.1609,0.1019,0.15,0.2007,0.185,0.15
0,12,0.549,0.08705,0.7,0.3,0.5648,0.3896,0.1845,0.1588,0.1012,0.15,0.2016,0.1855,0.15
0,13,0.2949,0.0483,0.7,0.3,0.7535,0.3923,0.185,0.1568,0.1006,0.15,0.2023,0.1859,0.15
0,14,0.2432,0.04217,0.5,0.5,0.7832,0.3947,0.1855,0.155,0.1001,0.15,0.203,0.1863,0.15
0,15,0.472,0.09022,0.8,0.2,0.6031,0.3989,0.1859,0.1521,0.09916,0.15,0.2036,0.187,0.15
0,16,0.2645,0.0529,0.5,0.5,0.7488,0.4007,0.1863,0.1507,0.09876,0.15,0.2041,0.1873,0.15
0,17,0.1727,0.02706,0.4,0.6,0.8557,0.4024,0.1867,0.1494,0.0984,0.15,0.2045,0.1875,0.15
0,18,0.4583,0.08488,0.6,0.4,0.6255,0.4038,0.187,0.1481,0.09807,0.15,0.2049,0.1878,0.15
0,19,0.3206,0.05957,0.5,0.5,0.7209,0.4052,0.1873,0.1471,0.09778,0.15,0.2051,0.188,0.15
0,20,0.4546,0.08309,0.7,0.3,0.6404,0.4075,0.1875,0.1458,0.09727,0.15,0.2054,0.1883,0.15
0,21,0.3653,0.06835,0.5,0.5,0.7054,0.4085,0.1878,0.1449,0.09706,0.15,0.2055,0.1885,0.15
0,22,0.5128,0.09915,0.6,0.4,0.5892,0.4093,0.188,0.1441,0.09686,0.15,0.2056,0.1886,0.15
0,23,0.2895,0.05288,0.5,0.5,0.7692,0.4102,0.1882,0.1433,0.09668,0.15,0.2057,0.1888,0.15
0,24,0.1826,0.03489,0.3,0.7,0.8478,0.4109,0.1883,0.1426,0.09652,0.15,0.2057,0.1889,0.15
0,25,0.4377,0.08457,0.5,0.5,0.6643,0.4121,0.1885,0.1413,0.09624,0.15,0.2057,0.1891,0.15
0,26,0.4166,0.08197,0.5,0.5,0.6699,0.4127,0.1886,0.1408,0.09613,0.15,0.2057,0.1892,0.15
0,27,0.3054,0.04706,0.3,0.7,0.7916,0.4132,0.1888,0.1403,0.09602,0.15,0.2057,0.1893,0.15
0,28,0.4138,0.08137,0.6,0.4,0.6746,0.4136,0.1889,0.1397,0.09592,0.15,0.2058,0.1893,0.15
0,29,0.4053,0.08107,0.5,0.5,0.6763,0.414,0.189,0.1392,0.09583,0.15,0.2058,0.1894,0.15
0,30,0.3824,0.06973,0.6,0.4,0.7197,0.4147,0.1891,0.1385,0.09568,0.15,0.2058,0.1895,0.15
0,31,0.3525,0.06868,0.5,0.5,0.7283,0.415,0.1892,0.138,0.09562,0.15,0.2058,0.1896,0.15
0,32,0.4476,0.08627,0.5,0.5,0.6672,0.4153,0.1893,0.1375,0.09556,0.15,0.2058,0.1896,0.15
0,33,0.3335,0.0667,0.4,0.6,0.7403,0.4155,0.1893,0.137,0.0955,0.15,0.2058,0.1896,0.15
0,34,0.2526,0.05053,0.3,0.7,0.7979,0.4157,0.1894,0.1366,0.09546,0.15,0.2058,0.1897,0.15
0,35,0.2535,0.05069,0.3,0.7,0.7974,0.4161,0.1895,0.1359,0.09537,0.15,0.2058,0.1897,0.15
0,36,0.4167,0.08333,0.5,0.5,0.677,0.4163,0.1895,0.1356,0.09534,0.15,0.2057,0.1898,0.15
0,37,0.4254,0.08508,0.5,0.5,0.6775,0.4164,0.1896,0.1353,0.0953,0.15,0.2056,0.1898,0.15
0,38,0.2545,0.05091,0.3,0.7,0.8055,0.4165,0.1896,0.135,0.09528,0.15,0.2056,0.1898,0.15
0,39,0.2881,0.05436,0.4,0.6,0.7864,0.4167,0.1896,0.1348,0.09525,0.15,0.2054,0.1898,0.15
0,40,0.4013,0.07377,0.5,0.5,0.7181,0.4169,0.1897,0.1345,0.0952,0.15,0.2053,0.1899,0.15
0,41,0.3944,0.07346,0.5,0.5,0.7175,0.417,0.1897,0.1343,0.09518,0.15,0.2051,0.1899,0.15
0,42,0.3498,0.06841,0.5,0.5,0.7399,0.417,0.1897,0.1342,0.09517,0.15,0.2048,0.1899,0.15
0,43,0.607,0.1214,0.7,0.3,0.552,0.4171,0.1898,0.1342,0.09515,0.15,0.2046,0.1899,0.15
0,44,0.2582,0.05163,0.3,0.7,0.8027,0.4172,0.1898,0.1342,0.09514,0.15,0.2043,0.1899,0.15
0,45,0.4518,0.08891,0.5,0.5,0.6752,0.4173,0.1898,0.1341,0.09511,0.15,0.2039,0.1899,0.15
0,46,0.4201,0.08402,0.5,0.5,0.6829,0.4173,0.1898,0.1341,0.0951,0.15,0.2036,0.1899,0.15
0,47,0.5478,0.1058,0.6,0.4,0.6023,0.4174,0.1898,0.134,0.09509,0.15,0.2032,0.1899,0.15
0,48,0.1739,0.03478,0.2,0.8,0.8671,0.4174,0.1899,0.134,0.09508,0.15,0.2028,0.1899,0.15
0,49,0.511,0.1022,0.6,0.4,0.6225,0.4175,0.1899,0.134,0.09507,0.15,0.2025,0.1899,0.15
0,50,0.4185,0.08371,0.5,0.5,0.687,0.4175,0.1899,0.134,0.09506,0.15,0.2022,0.19,0.15
0,51,0.3479,0.06959,0.4,0.6,0.7423,0.4175,0.1899,0.134,0.09506,0.15,0.2019,0.19,0.15
0,52,0.425,0.08501,0.5,0.5,0.6827,0.4176,0.1899,0.134,0.09505,0.15,0.2016,0.19,0.15
0,53,0.3358,0.06716,0.4,0.6,0.7469,0.4176,0.1899,0.1339,0.09505,0.15,0.2014,0.19,0.15
0,54,0.2595,0.05191,0.3,0.7,0.8068,0.4176,0.1899,0.1339,0.09504,0.15,0.2012,0.19,0.15
0,55,0.43,0.086,0.5,0.5,0.6866,0.4176,0.1899,0.1338,0.09503,0.15,0.201,0.19,0.15
0,56,0.4241,0.08482,0.5,0.5,0.6829,0.4177,0.1899,0.1338,0.09503,0.15,0.2009,0.19,0.15
0,57,0.3496,0.06993,0.4,0.6,0.7454,0.4177,0.1899,0.1338,0.09503,0.15,0.2007,0.19,0.15
0,58,0.2625,0.0525,0.3,0.7,0.8084,0.4177,0.1899,0.1337,0.09502,0.15,0.2006,0.19,0.15
0,59,0.3412,0.06824,0.4,0.6,0.7502,0.4177,0.19,0.1337,0.09502,0.15,0.2005,0.19,0.15
0,60,0.428,0.08559,0.5,0.5,0.6878,0.4177,0.19,0.1337,0.09502,0.15,0.2004,0.19,0.15
0,61,0.3527,0.07054,0.4,0.6,0.7463,0.4177,0.19,0.1337,0.09502,0.15,0.2003,0.19,0.15
0,62,0.3526,0.07053,0.4,0.6,0.7434,0.4177,0.19,0.1336,0.09501,0.15,0.2003,0.19,0.15
0,63,0.2562,0.05125,0.3,0.7,0.8123,0.4177,0.19,0.1336,0.09501,0.15,0.2002,0.19,0.15
0,64,0.4316,0.08632,0.5,0.5,0.6842,0.4177,0.19,0.1336,0.09501,0.15,0.2002,0.19,0.15
0,65,0.5162,0.1032,0.6,0.4,0.6268,0.4177,0.19,0.1335,0.09501,0.15,0.2002,0.19,0.15
0,66,0.3536,0.07072,0.4,0.6,0.7475,0.4178,0.19,0.1334,0.09501,0.15,0.2002,0.19,0.15
0,67,0.2665,0.0533,0.3,0.7,0.8089,0.4178,0.19,0.1334,0.09501,0.15,0.2002,0.19,0.15
0,68,0.3416,0.06832,0.4,0.6,0.7482,0.4178,0.19,0.1334,0.09501,0.15,0.2002,0.19,0.15
0,69,0.4394,0.08788,0.5,0.5,0.6834,0.4178,0.19,0.1333,0.09501,0.15,0.2002,0.19,0.15
0,70,0.5169,0.1034,0.6,0.4,0.6241,0.4178,0.19,0.1332,0.09501,0.15,0.2002,0.19,0.15
0,71,0.2643,0.05286,0.3,0.7,0.8091,0.4178,0.19,0.1332,0.095,0.15,0.2002,0.19,0.15
0,72,0.528,0.1056,0.6,0.4,0.6237,0.4178,0.19,0.1331,0.095,0.15,0.2002,0.19,0.15
0,73,0.2602,0.05203,0.3,0.7,0.8088,0.4178,0.19,0.1331,0.095,0.15,0.2002,0.19,0.15
0,74,0.3468,0.06936,0.4,0.6,0.7469,0.4178,0.19,0.1331,0.095,0.15,0.2002,0.19,0.15
0,75,0.6983,0.1397,0.8,0.2,0.5004,0.4178,0.19,0.133,0.095,0.15,0.2003,0.19,0.15
0,76,0.1756,0.03512,0.2,0.8,0.8733,0.4178,0.19,0.133,0.095,0.15,0.2003,0.19,0.15
0,77,0.3524,0.07048,0.4,0.6,0.7481,0.4178,0.19,0.133,0.095,0.15,0.2003,0.19,0.15
0,78,0.4288,0.08575,0.5,0.5,0.6882,0.4178,0.19,0.1329,0.095,0.15,0.2004,0.19,0.15
0,79,0.4455,0.0891,0.5,0.5,0.6862,0.4178,0.19,0.1329,0.095,0.15,0.2004,0.19,0.15
0,80,0.2547,0.05094,0.3,0.7,0.8144,0.4178,0.19,0.1329,0.095,0.15,0.2005,0.19,0.15
0,81,0.352,0.0704,0.4,0.6,0.7492,0.4178,0.19,0.1328,0.095,0.15,0.2005,0.19,0.15
0,82,0.3482,0.06964,0.4,0.6,0.7506,0.4178,0.19,0.1328,0.095,0.15,0.2005,0.19,0.15
0,83,0.1773,0.03547,0.2,0.8,0.8738,0.4178,0.19,0.1328,0.095,0.15,0.2006,0.19,0.15
0,84,0.3407,0.06814,0.4,0.6,0.7517,0.4178,0.19,0.1328,0.095,0.15,0.2006,0.19,0.15
0,85,0.446,0.0892,0.5,0.5,0.6864,0.4178,0.19,0.1327,0.095,0.15,0.2007,0.19,0.15
