|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Hidden Context ActAvg,#Music Hidden ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,0,1.427,0.2017,1,0,0.04959,0.3025,0.1715,0.1689,0.1204,0.1522,0.1631,0.1715,0.15
0,1,1.384,0.1913,1,0,0.04227,0.3136,0.1733,0.1665,0.1179,0.152,0.1642,0.1733,0.15
0,2,1.284,0.1728,1,0,0.08939,0.3235,0.1749,0.1643,0.1158,0.1521,0.1655,0.1749,0.15
0,3,0.9908,0.1358,1,0,0.2808,0.3325,0.1763,0.162,0.1138,0.1517,0.1667,0.1763,0.15
0,4,0.848,0.1169,1,0,0.356,0.3407,0.1777,0.16,0.112,0.1515,0.1678,0.1777,0.15
0,5,0.9226,0.1203,1,0,0.3161,0.3517,0.1788,0.157,0.1089,0.1502,0.1635,0.1799,0.15
0,6,0.6748,0.08993,0.9,0.1,0.4838,0.358,0.1799,0.1555,0.1076,0.1501,0.1651,0.1809,0.15
0,7,0.5399,0.06958,0.8,0.2,0.5891,0.3637,0.1809,0.154,0.1064,0.1501,0.1669,0.1817,0.15
0,8,0.3011,0.0341,0.9,0.1,0.729,0.3689,0.1817,0.1527,0.1053,0.1501,0.1685,0.1825,0.15
0,9,0.4335,0.05198,0.8,0.2,0.6407,0.3736,0.1825,0.1514,0.1043,0.1502,0.1698,0.1832,0.15
0,10,0.3744,0.05101,0.8,0.2,0.6611,0.3846,0.1832,0.1508,0.1026,0.1499,0.1672,0.1845,0.15
0,11,0.1902,0.02872,0.7,0.3,0.7851,0.3878,0.1839,0.1497,0.1019,0.1502,0.169,0.185,0.15
0,12,0.2425,0.03379,0.9,0.1,0.7797,0.3906,0.1845,0.1485,0.1012,0.151,0.1704,0.1855,0.15
0,13,0.2392,0.03777,0.6,0.4,0.7623,0.3932,0.185,0.1472,0.1006,0.1517,0.1717,0.1859,0.15
0,14,0.1734,0.02588,0.5,0.5,0.8287,0.3956,0.1855,0.1461,0.1001,0.1523,0.1729,0.1863,0.15
0,15,0.2186,0.03553,0.6,0.4,0.7816,0.4023,0.186,0.1448,0.09916,0.1523,0.1687,0.187,0.15
0,16,0.2865,0.04802,0.6,0.4,0.7201,0.4038,0.1863,0.1438,0.09876,0.1526,0.17,0.1873,0.15
0,17,0.1979,0.03261,0.5,0.5,0.7769,0.4051,0.1867,0.143,0.0984,0.1531,0.1714,0.1875,0.15
0,18,0.162,0.02435,0.6,0.4,0.8357,0.4063,0.187,0.1422,0.09807,0.1534,0.1726,0.1878,0.15
0,19,0.08476,0.01568,0.3,0.7,0.8674,0.4074,0.1873,0.1414,0.09778,0.1537,0.1737,0.188,0.15
0,20,0.08081,0.01421,0.3,0.7,0.8641,0.4079,0.1876,0.1413,0.09727,0.1531,0.1688,0.1883,0.15
0,21,0.1347,0.01963,0.5,0.5,0.8448,0.4088,0.1878,0.1406,0.09706,0.1534,0.1702,0.1885,0.15
0,22,0.09672,0.01934,0.3,0.7,0.8472,0.4097,0.188,0.14,0.09686,0.1537,0.1716,0.1886,0.15
