|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Shared Hidden ActAvg,#Music Hidden ActAvg,#Music Hidden Context ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,0,1.59,0.2177,1,0,0.01855,0.3025,0.1715,0.1974,0.1204,0.15,0.1504,0.09923,0.1715,0.15
0,1,1.143,0.1481,1,0,0.2493,0.3136,0.1733,0.1935,0.1179,0.15,0.1543,0.1072,0.1733,0.15
0,2,0.8342,0.1073,1,0,0.4222,0.3235,0.1749,0.1901,0.1158,0.15,0.158,0.1155,0.1749,0.15
0,3,0.904,0.1182,1,0,0.3446,0.3325,0.1763,0.1865,0.1138,0.15,0.1607,0.1225,0.1763,0.15
0,4,0.7409,0.09211,0.9,0.1,0.4565,0.3407,0.1777,0.183,0.112,0.15,0.1626,0.1282,0.1777,0.15
0,5,0.6467,0.09419,1,0,0.5581,0.3563,0.1788,0.178,0.1089,0.15,0.1596,0.1354,0.1799,0.15
0,6,0.5243,0.08033,0.8,0.2,0.6245,0.3621,0.1799,0.1749,0.1076,0.15,0.1613,0.1393,0.1809,0.15
0,7,0.511,0.07234,0.9,0.1,0.6364,0.3675,0.1809,0.172,0.1064,0.15,0.1628,0.1429,0.1817,0.15
0,8,0.1014,0.01229,0.5,0.5,0.8934,0.3723,0.1817,0.1693,0.1053,0.15,0.1641,0.1461,0.1825,0.15
0,9,0.1992,0.03045,0.5,0.5,0.8278,0.3766,0.1825,0.1669,0.1043,0.15,0.1652,0.149,0.1832,0.15
0,10,0.2354,0.03286,0.5,0.5,0.7995,0.3897,0.1832,0.1634,0.1026,0.15,0.1598,0.1471,0.1845,0.15
0,11,0.139,0.02136,0.4,0.6,0.8777,0.3923,0.1839,0.161,0.1019,0.15,0.1613,0.1497,0.185,0.15
0,12,0.3026,0.04604,0.7,0.3,0.7605,0.3948,0.1845,0.1588,0.1012,0.15,0.1622,0.1519,0.1855,0.15
0,13,0.1559,0.01757,0.3,0.7,0.8698,0.397,0.185,0.1568,0.1006,0.15,0.1629,0.1535,0.1859,0.15
0,14,0.0934,0.01689,0.2,0.8,0.8975,0.399,0.1855,0.1549,0.1001,0.15,0.1635,0.155,0.1863,0.15
0,15,0.06905,0.006905,0.3,0.7,0.9366,0.4024,0.1859,0.1518,0.09916,0.15,0.1571,0.1501,0.187,0.15
0,16,0.09618,0.01728,0.2,0.8,0.9082,0.4039,0.1863,0.1503,0.09876,0.15,0.1583,0.1519,0.1873,0.15
0,17,0.1062,0.01062,0.4,0.6,0.9246,0.4052,0.1867,0.149,0.0984,0.15,0.1593,0.1536,0.1875,0.15
0,18,0.1876,0.01876,0.6,0.4,0.8899,0.4064,0.187,0.1478,0.09807,0.15,0.1603,0.1551,0.1878,0.15
0,19,0.2249,0.02987,0.7,0.3,0.851,0.4075,0.1873,0.1467,0.09778,0.15,0.1611,0.1564,0.188,0.15
0,20,0.09121,0.009121,0.4,0.6,0.9409,0.4128,0.1876,0.1453,0.09727,0.15,0.156,0.1518,0.1883,0.15
0,21,0.1176,0.0197,0.3,0.7,0.892,0.4133,0.1878,0.1444,0.09706,0.15,0.1572,0.1533,0.1885,0.15
