|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Shared Hidden ActAvg,#Music Hidden ActAvg,#Music Hidden Context ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,0,1.51,0.213,1,0,-0.002124,0.3025,0.1715,0.1689,0.1204,0.1512,0.1439,0.09712,0.1715,0.15
0,1,1.251,0.1708,0.9,0.1,0.1382,0.3136,0.1733,0.1668,0.1179,0.1521,0.146,0.1034,0.1733,0.15
0,2,1.211,0.1596,1,0,0.1857,0.3235,0.1749,0.1648,0.1158,0.1529,0.148,0.1094,0.1749,0.15
0,3,1.087,0.1388,1,0,0.2415,0.3325,0.1763,0.163,0.1138,0.1536,0.1497,0.1149,0.1763,0.15
0,4,0.9446,0.1186,1,0,0.2911,0.3407,0.1777,0.1612,0.112,0.1538,0.1506,0.1193,0.1777,0.15
0,5,0.7438,0.09968,0.9,0.1,0.4114,0.3566,0.1788,0.1584,0.1089,0.1528,0.1471,0.1218,0.1799,0.15
0,6,0.635,0.08743,1,0,0.5115,0.3624,0.1799,0.1571,0.1076,0.1534,0.1482,0.1252,0.1809,0.15
0,7,0.4536,0.05645,0.9,0.1,0.6257,0.3677,0.1809,0.1559,0.1064,0.1539,0.1491,0.1283,0.1817,0.15
0,8,0.7265,0.1025,0.8,0.2,0.4358,0.3725,0.1817,0.1545,0.1053,0.1542,0.1499,0.1312,0.1825,0.15
0,9,0.2796,0.03381,0.9,0.1,0.7829,0.3768,0.1825,0.1532,0.1043,0.1538,0.1505,0.1336,0.1832,0.15
0,10,0.4062,0.05514,0.8,0.2,0.6837,0.3872,0.1832,0.1513,0.1026,0.1529,0.1475,0.1336,0.1845,0.15
0,11,0.1488,0.01691,0.7,0.3,0.8628,0.3901,0.1839,0.1501,0.1019,0.1534,0.1484,0.1358,0.185,0.15
0,12,0.2381,0.02381,1,0,0.8709,0.3927,0.1845,0.1492,0.1012,0.1545,0.1494,0.1379,0.1855,0.15
0,13,0.4288,0.05708,0.9,0.1,0.7221,0.3951,0.185,0.1484,0.1006,0.1555,0.1502,0.1399,0.1859,0.15
0,14,0.1576,0.01576,0.7,0.3,0.9107,0.3973,0.1855,0.1477,0.1001,0.1557,0.1507,0.1415,0.1863,0.15
0,15,0.4306,0.0567,0.9,0.1,0.7056,0.4027,0.1859,0.1467,0.09916,0.155,0.1478,0.1404,0.187,0.15
0,16,0.3752,0.05214,0.7,0.3,0.7215,0.4042,0.1863,0.1463,0.09876,0.1558,0.1488,0.142,0.1873,0.15
0,17,0.2688,0.03165,0.7,0.3,0.782,0.4055,0.1867,0.1459,0.0984,0.1568,0.1497,0.1436,0.1875,0.15
0,18,0.2508,0.02508,0.8,0.2,0.8412,0.4066,0.187,0.1453,0.09807,0.1571,0.1504,0.145,0.1878,0.15
0,19,0.1695,0.01695,0.6,0.4,0.8822,0.4077,0.1873,0.1448,0.09778,0.1571,0.1511,0.1462,0.188,0.15
0,20,0.4022,0.04554,0.7,0.3,0.7221,0.4105,0.1875,0.1445,0.09727,0.1565,0.1479,0.1438,0.1883,0.15
0,21,0.2329,0.02762,0.5,0.5,0.8216,0.4112,0.1878,0.1441,0.09706,0.1572,0.149,0.1452,0.1885,0.15
0,22,0.2318,0.02994,0.7,0.3,0.8266,0.4118,0.188,0.1439,0.09686,0.1578,0.1499,0.1465,0.1886,0.15
0,23,0.3643,0.04499,0.6,0.4,0.7413,0.4124,0.1882,0.1436,0.09668,0.1579,0.1508,0.1477,0.1888,0.15
0,24,0.1752,0.02528,0.6,0.4,0.8338,0.4129,0.1883,0.1434,0.09652,0.1578,0.1515,0.1487,0.1889,0.15
0,25,0.1418,0.01948,0.5,0.5,0.8401,0.4137,0.1885,0.1431,0.09624,0.1572,0.1484,0.1462,0.1891,0.15
0,26,0.1909,0.02352,0.5,0.5,0.817,0.4141,0.1886,0.143,0.09613,0.1578,0.1494,0.1474,0.1892,0.15
0,27,0.1421,0.01897,0.6,0.4,0.863,0.4145,0.1888,0.1427,0.09602,0.1582,0.1503,0.1485,0.1893,0.15
0,28,0.02397,0.002397,0.1,0.9,0.9079,0.4148,0.1889,0.1424,0.09592,0.1581,0.151,0.1494,0.1893,0.15
0,29,0.08813,0.01025,0.4,0.6,0.9019,0.4151,0.189,0.142,0.09583,0.1579,0.1516,0.1502,0.1894,0.15
0,30,0.1688,0.02159,0.7,0.3,0.845,0.4197,0.1891,0.1415,0.09568,0.1568,0.1482,0.1472,0.1895,0.15
0,31,0.1307,0.01482,0.6,0.4,0.8786,0.4195,0.1892,0.1413,0.09562,0.1574,0.1492,0.1482,0.1896,0.15
0,32,0.08195,0.009794,0.4,0.6,0.9066,0.4193,0.1893,0.1412,0.09556,0.158,0.1501,0.1492,0.1896,0.15
0,33,0.09333,0.009333,0.2,0.8,0.8772,0.4192,0.1893,0.141,0.0955,0.158,0.1508,0.15,0.1896,0.15
0,34,0.08162,0.008162,0.4,0.6,0.9001,0.419,0.1894,0.1408,0.09546,0.1579,0.1513,0.1507,0.1897,0.15
0,35,0.1672,0.02268,0.5,0.5,0.8346,0.4202,0.1895,0.1411,0.09537,0.1578,0.1481,0.1478,0.1897,0.15
0,36,0.1288,0.01635,0.4,0.6,0.8911,0.42,0.1895,0.141,0.09534,0.1584,0.1491,0.1487,0.1898,0.15
0,37,0.113,0.01467,0.4,0.6,0.8991,0.4198,0.1896,0.141,0.0953,0.1588,0.15,0.1496,0.1898,0.15
0,38,0.03731,0.005188,0.2,0.8,0.9279,0.4196,0.1896,0.1408,0.09528,0.1587,0.1506,0.1504,0.1898,0.15
0,39,0.06237,0.006237,0.3,0.7,0.9355,0.4194,0.1896,0.1406,0.09525,0.1585,0.1511,0.1509,0.1898,0.15
0,40,0.02935,0.004428,0.1,0.9,0.9238,0.4219,0.1897,0.1413,0.0952,0.1581,0.1475,0.148,0.1899,0.15
0,41,0.06792,0.00846,0.3,0.7,0.9207,0.4215,0.1897,0.1411,0.09518,0.1585,0.1485,0.1489,0.1899,0.15
0,42,0.06677,0.008198,0.3,0.7,0.9213,0.4212,0.1897,0.141,0.09517,0.1589,0.1494,0.1498,0.1899,0.15
0,43,0.03769,0.003769,0.2,0.8,0.9343,0.4208,0.1898,0.1409,0.09515,0.1592,0.1502,0.1506,0.1899,0.15
0,44,0.03079,0.003079,0.2,0.8,0.9427,0.4206,0.1898,0.1407,0.09514,0.1589,0.1507,0.1511,0.1899,0.15
0,45,0,0,0,1,0.9467,0.4244,0.1898,0.1407,0.09511,0.1577,0.1472,0.1479,0.1899,0.15
0,46,0.02188,0.002188,0.1,0.9,0.9484,0.4238,0.1898,0.1406,0.0951,0.1582,0.1482,0.1487,0.1899,0.15
0,47,0.03614,0.003614,0.2,0.8,0.9442,0.4232,0.1898,0.1405,0.09509,0.1585,0.1491,0.1496,0.1899,0.15
0,48,0.01817,0.001817,0.1,0.9,0.9579,0.4227,0.1899,0.1404,0.09508,0.1589,0.1498,0.1503,0.1899,0.15
0,49,0.01725,0.001725,0.1,0.9,0.9634,0.4222,0.1899,0.1403,0.09507,0.1588,0.1503,0.1508,0.1899,0.15
0,50,0,0,0,1,0.9563,0.4247,0.1899,0.1403,0.09506,0.1574,0.1469,0.1476,0.19,0.15
0,51,0.03826,0.003826,0.2,0.8,0.9514,0.4241,0.1899,0.1402,0.09506,0.1578,0.1479,0.1484,0.19,0.15
0,52,0.01501,0.001501,0.1,0.9,0.9647,0.4235,0.1899,0.1401,0.09505,0.1582,0.1487,0.1492,0.19,0.15
0,53,0.01437,0.001437,0.1,0.9,0.9656,0.4229,0.1899,0.1401,0.09505,0.1586,0.1495,0.1499,0.19,0.15
0,54,0.05033,0.005033,0.3,0.7,0.9532,0.4224,0.1899,0.14,0.09504,0.1589,0.1501,0.1505,0.19,0.15
0,55,0.01443,0.001443,0.1,0.9,0.9709,0.4241,0.1899,0.1398,0.09503,0.1572,0.1468,0.1476,0.19,0.15
0,56,0.01503,0.001503,0.1,0.9,0.9704,0.4235,0.1899,0.1397,0.09503,0.1577,0.1477,0.1484,0.19,0.15
0,57,0.01327,0.001327,0.1,0.9,0.9684,0.423,0.1899,0.1397,0.09503,0.1581,0.1486,0.1491,0.19,0.15
0,58,0,0,0,1,0.9826,0.4225,0.1899,0.1397,0.09502,0.1584,0.1493,0.1498,0.19,0.15
