|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Shared Hidden ActAvg,#Music Hidden ActAvg,#Music Hidden Context ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,0,1.65,0.2297,1,0,-0.1524,0.3025,0.1715,0.1974,0.1204,0.15,0.1467,0.09813,0.1715,0.1572
0,1,1.298,0.1791,1,0,0.09423,0.3136,0.1733,0.1935,0.1179,0.15,0.1499,0.1055,0.1733,0.1636
0,2,1.078,0.156,1,0,0.2087,0.3235,0.1749,0.1901,0.1158,0.15,0.1529,0.1128,0.1749,0.1695
0,3,0.9571,0.1289,1,0,0.3148,0.3325,0.1763,0.1865,0.1138,0.15,0.1551,0.1191,0.1763,0.175
0,4,0.9979,0.1435,1,0,0.2137,0.3407,0.1777,0.183,0.112,0.15,0.1564,0.124,0.1777,0.1802
0,5,0.8126,0.1274,1,0,0.3989,0.3562,0.1788,0.178,0.1089,0.15,0.1515,0.1248,0.1799,0.1903
0,6,0.5813,0.09173,0.8,0.2,0.5574,0.3621,0.1799,0.1749,0.1076,0.15,0.1529,0.1286,0.1809,0.1941
0,7,0.8049,0.1241,0.9,0.1,0.3829,0.3674,0.1809,0.1719,0.1064,0.15,0.1543,0.1323,0.1817,0.1976
0,8,0.3933,0.06218,0.6,0.4,0.685,0.3722,0.1817,0.1693,0.1053,0.15,0.1555,0.1357,0.1825,0.2008
0,9,0.3715,0.05886,0.4,0.6,0.6911,0.3766,0.1825,0.1668,0.1043,0.15,0.1567,0.1387,0.1832,0.2037
0,10,0.3364,0.04805,0.5,0.5,0.742,0.383,0.1834,0.163,0.1026,0.15,0.1532,0.1383,0.1845,0.2095
0,11,0.06056,0.006056,0.3,0.7,0.9382,0.3863,0.184,0.1609,0.1019,0.15,0.1546,0.1409,0.185,0.2115
0,12,0.1705,0.01705,0.4,0.6,0.8852,0.3893,0.1846,0.1587,0.1012,0.15,0.1559,0.1435,0.1855,0.2132
0,13,0.05865,0.005865,0.2,0.8,0.9347,0.3921,0.1851,0.1567,0.1006,0.15,0.157,0.1458,0.1859,0.2148
0,14,0.1685,0.02447,0.4,0.6,0.8712,0.3945,0.1856,0.1549,0.1001,0.15,0.158,0.1479,0.1863,0.2161
0,15,0.2389,0.03205,0.4,0.6,0.8351,0.4017,0.186,0.1524,0.09916,0.15,0.1527,0.1449,0.187,0.2174
0,16,0.03507,0.003507,0.2,0.8,0.9675,0.4032,0.1864,0.1509,0.09876,0.15,0.1541,0.1469,0.1873,0.2185
0,17,0.1957,0.01957,0.4,0.6,0.8774,0.4046,0.1867,0.1496,0.0984,0.15,0.1554,0.1488,0.1875,0.2195
0,18,0.1994,0.02644,0.5,0.5,0.8604,0.4059,0.187,0.1484,0.09807,0.15,0.1565,0.1506,0.1878,0.2205
0,19,0.1028,0.01028,0.4,0.6,0.9302,0.407,0.1873,0.1473,0.09778,0.15,0.1572,0.152,0.188,0.2214
0,20,0.1382,0.01382,0.6,0.4,0.9122,0.4069,0.1876,0.1458,0.09727,0.15,0.1518,0.1478,0.1883,0.2228
0,21,0.01618,0.001618,0.1,0.9,0.9559,0.408,0.1878,0.145,0.09706,0.15,0.1532,0.1495,0.1885,0.2234
0,22,0.04436,0.004436,0.2,0.8,0.9542,0.4089,0.188,0.1443,0.09686,0.15,0.1544,0.1511,0.1886,0.2241
0,23,0.2406,0.03155,0.5,0.5,0.8286,0.4098,0.1882,0.1436,0.09668,0.15,0.1553,0.1524,0.1888,0.2247
0,24,0.06195,0.006195,0.1,0.9,0.931,0.4105,0.1884,0.1429,0.09652,0.15,0.1562,0.1535,0.1889,0.2252
0,25,0.01352,0.001352,0.1,0.9,0.9693,0.4086,0.1885,0.1415,0.09624,0.15,0.1509,0.149,0.1891,0.2254
0,26,0.01378,0.001378,0.1,0.9,0.9708,0.4095,0.1887,0.141,0.09613,0.15,0.1523,0.1505,0.1892,0.2259
0,27,0.01474,0.001474,0.1,0.9,0.9766,0.4103,0.1888,0.1406,0.09602,0.15,0.1535,0.1519,0.1893,0.2264
0,28,0.0635,0.00635,0.3,0.7,0.9545,0.411,0.1889,0.1401,0.09592,0.15,0.1545,0.1531,0.1893,0.2268
0,29,0.09899,0.009899,0.2,0.8,0.929,0.4116,0.189,0.1397,0.09583,0.15,0.1555,0.1542,0.1894,0.2272
0,30,0.03624,0.003624,0.1,0.9,0.9678,0.4097,0.1891,0.1386,0.09568,0.15,0.1502,0.1498,0.1895,0.2281
0,31,0.01436,0.001436,0.1,0.9,0.9795,0.4105,0.1892,0.1384,0.09562,0.15,0.1517,0.1512,0.1896,0.2284
0,32,0.05512,0.005512,0.2,0.8,0.9636,0.4112,0.1893,0.1382,0.09556,0.15,0.1529,0.1525,0.1896,0.2287
0,33,0.02302,0.002302,0.1,0.9,0.9688,0.4118,0.1893,0.138,0.0955,0.15,0.154,0.1536,0.1896,0.229
0,34,0,0,0,1,0.9832,0.4124,0.1894,0.1378,0.09546,0.15,0.155,0.1547,0.1897,0.2293
0,35,0,0,0,1,0.9849,0.4104,0.1895,0.1371,0.09537,0.15,0.1498,0.1503,0.1897,0.2299
0,36,0.02688,0.002688,0.1,0.9,0.9804,0.4111,0.1895,0.137,0.09534,0.15,0.1511,0.1515,0.1898,0.2301
0,37,0.0285,0.00285,0.2,0.8,0.9791,0.4117,0.1896,0.1369,0.0953,0.15,0.1524,0.1527,0.1898,0.2304
0,38,0.03396,0.003396,0.1,0.9,0.9745,0.4123,0.1896,0.1369,0.09528,0.15,0.1536,0.1538,0.1898,0.2306
0,39,0,0,0,1,0.989,0.4128,0.1896,0.1369,0.09525,0.15,0.1546,0.1549,0.1898,0.2308
0,40,0.03633,0.003633,0.1,0.9,0.9724,0.4136,0.1897,0.1366,0.0952,0.15,0.1496,0.1499,0.1899,0.2314
0,41,0,0,0,1,0.989,0.414,0.1897,0.1365,0.09518,0.15,0.151,0.1513,0.1899,0.2316
0,42,0,0,0,1,0.9904,0.4144,0.1897,0.1364,0.09517,0.15,0.1523,0.1525,0.1899,0.2317
0,43,0.01418,0.001418,0.1,0.9,0.9889,0.4147,0.1898,0.1363,0.09515,0.15,0.1534,0.1536,0.1899,0.2318
0,44,0.01296,0.001296,0.1,0.9,0.9866,0.415,0.1898,0.1361,0.09514,0.15,0.1545,0.1547,0.1899,0.232
0,45,0.01948,0.001948,0.1,0.9,0.9801,0.4125,0.1898,0.1356,0.09511,0.15,0.1493,0.1501,0.1899,0.2323
0,46,0,0,0,1,0.9914,0.413,0.1898,0.1357,0.0951,0.15,0.1507,0.1514,0.1899,0.2324
0,47,0.03013,0.003013,0.1,0.9,0.979,0.4135,0.1898,0.1357,0.09509,0.15,0.152,0.1526,0.1899,0.2325
0,48,0,0,0,1,0.9915,0.4139,0.1899,0.1357,0.09508,0.15,0.1531,0.1537,0.1899,0.2326
0,49,0,0,0,1,0.9938,0.4143,0.1899,0.1356,0.09507,0.15,0.1542,0.1547,0.1899,0.2327
0,50,0,0,0,1,0.9939,0.4119,0.1899,0.1353,0.09506,0.15,0.149,0.1502,0.19,0.2329
0,51,0.03886,0.003886,0.1,0.9,0.9781,0.4125,0.1899,0.1354,0.09506,0.15,0.1504,0.1514,0.19,0.2329
0,52,0,0,0,1,0.9933,0.413,0.1899,0.1355,0.09505,0.15,0.1517,0.1526,0.19,0.233
0,53,0,0,0,1,0.9941,0.4134,0.1899,0.1356,0.09505,0.15,0.1529,0.1537,0.19,0.2331
0,54,0,0,0,1,0.9928,0.4138,0.1899,0.1355,0.09504,0.15,0.154,0.1546,0.19,0.2331
0,55,0,0,0,1,0.9947,0.4116,0.1899,0.1352,0.09503,0.15,0.1489,0.1501,0.19,0.2333
0,56,0.02578,0.002578,0.1,0.9,0.9796,0.4121,0.1899,0.1354,0.09503,0.15,0.1503,0.1513,0.19,0.2333
0,57,0,0,0,1,0.9916,0.4127,0.1899,0.1355,0.09503,0.15,0.1516,0.1525,0.19,0.2334
0,58,0,0,0,1,0.9927,0.4132,0.1899,0.1356,0.09502,0.15,0.1528,0.1536,0.19,0.2334
0,59,0,0,0,1,0.9912,0.4136,0.19,0.1357,0.09502,0.15,0.1538,0.1546,0.19,0.2335
0,60,0,0,0,1,0.9957,0.4099,0.19,0.1353,0.09502,0.15,0.1492,0.151,0.19,0.2336
0,61,0,0,0,1,0.9931,0.4107,0.19,0.1354,0.09502,0.15,0.1506,0.152,0.19,0.2336
0,62,0,0,0,1,0.9937,0.4113,0.19,0.1356,0.09501,0.15,0.1518,0.1531,0.19,0.2336
0,63,0,0,0,1,0.9959,0.412,0.19,0.1357,0.09501,0.15,0.1529,0.1541,0.19,0.2337
0,64,0,0,0,1,0.9967,0.4125,0.19,0.1358,0.09501,0.15,0.1539,0.155,0.19,0.2337
0,65,0,0,0,1,0.9961,0.4105,0.19,0.1355,0.09501,0.15,0.1489,0.1504,0.19,0.2338
0,66,0,0,0,1,0.9969,0.4112,0.19,0.1357,0.09501,0.15,0.1503,0.1515,0.19,0.2338
0,67,0,0,0,1,0.9952,0.4118,0.19,0.1358,0.09501,0.15,0.1515,0.1527,0.19,0.2338
0,68,0,0,0,1,0.9967,0.4124,0.19,0.1359,0.09501,0.15,0.1526,0.1537,0.19,0.2339
0,69,0,0,0,1,0.9969,0.4129,0.19,0.136,0.09501,0.15,0.1537,0.1546,0.19,0.2339
0,70,0,0,0,1,0.9968,0.4096,0.19,0.1355,0.09501,0.15,0.1491,0.1513,0.19,0.234
0,71,0,0,0,1,0.9965,0.4103,0.19,0.1356,0.095,0.15,0.1505,0.1523,0.19,0.2341
0,72,0,0,0,1,0.9972,0.4111,0.19,0.1357,0.095,0.15,0.1517,0.1534,0.19,0.2341
0,73,0,0,0,1,0.9972,0.4117,0.19,0.1358,0.095,0.15,0.1528,0.1543,0.19,0.2341
0,74,0,0,0,1,0.9976,0.4123,0.19,0.1359,0.095,0.15,0.1537,0.1551,0.19,0.2341
0,75,0,0,0,1,0.9969,0.4103,0.19,0.1355,0.095,0.15,0.1487,0.1505,0.19,0.2342
0,76,0,0,0,1,0.9965,0.411,0.19,0.1356,0.095,0.15,0.1501,0.1515,0.19,0.2342
0,77,0,0,0,1,0.9977,0.4116,0.19,0.1357,0.095,0.15,0.1513,0.1526,0.19,0.2342
0,78,0,0,0,1,0.9976,0.4122,0.19,0.1358,0.095,0.15,0.1524,0.1536,0.19,0.2342
0,79,0,0,0,1,0.9986,0.4128,0.19,0.1359,0.095,0.15,0.1534,0.1545,0.19,0.2342
0,80,0,0,0,1,0.9979,0.4107,0.19,0.1355,0.095,0.15,0.1485,0.15,0.19,0.2343
0,81,0,0,0,1,0.9987,0.4114,0.19,0.1356,0.095,0.15,0.1498,0.1511,0.19,0.2343
0,82,0,0,0,1,0.9987,0.412,0.19,0.1357,0.095,0.15,0.151,0.1522,0.19,0.2343
0,83,0,0,0,1,0.9987,0.4125,0.19,0.1358,0.095,0.15,0.1521,0.1532,0.19,0.2343
0,84,0,0,0,1,0.9987,0.413,0.19,0.1359,0.095,0.15,0.1531,0.1541,0.19,0.2343
0,85,0,0,0,1,0.9988,0.4109,0.19,0.1355,0.095,0.15,0.1482,0.1496,0.19,0.2344
0,86,0,0,0,1,0.9988,0.4115,0.19,0.1356,0.095,0.15,0.1497,0.1509,0.19,0.2344
