|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Shared Hidden ActAvg,#Music Hidden ActAvg,#Music Hidden Context ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,0,1.376,0.186,1,0,0.03318,0.3025,0.1715,0.1687,0.1204,0.1511,0.1438,0.09712,0.1715,0.1571
0,1,1.354,0.1809,1,0,0.05013,0.3136,0.1733,0.1665,0.1179,0.1519,0.1458,0.1033,0.1733,0.1637
0,2,1.248,0.1715,1,0,0.09137,0.3235,0.1749,0.1648,0.1158,0.1527,0.1478,0.1093,0.1749,0.1696
0,3,1.077,0.1516,1,0,0.1856,0.3325,0.1763,0.1633,0.1138,0.1539,0.1494,0.1146,0.1763,0.1752
0,4,1.001,0.1381,0.9,0.1,0.2146,0.3407,0.1777,0.1617,0.112,0.1543,0.1504,0.1192,0.1777,0.1803
0,5,0.795,0.1071,0.9,0.1,0.3388,0.3543,0.1788,0.159,0.1089,0.1533,0.1472,0.1216,0.1799,0.1904
0,6,0.7192,0.09745,1,0,0.4548,0.3603,0.1799,0.1579,0.1076,0.1541,0.1481,0.1249,0.1809,0.1943
0,7,0.6967,0.1005,1,0,0.508,0.3658,0.1809,0.1567,0.1064,0.1547,0.1489,0.1279,0.1817,0.198
0,8,0.6571,0.09016,0.8,0.2,0.476,0.3708,0.1817,0.1556,0.1053,0.1551,0.1496,0.1306,0.1825,0.2015
0,9,0.6772,0.09058,0.8,0.2,0.4955,0.3753,0.1825,0.1546,0.1043,0.1554,0.1501,0.133,0.1832,0.2046
0,10,0.2912,0.04231,0.7,0.3,0.7715,0.383,0.1832,0.1525,0.1026,0.1544,0.147,0.1329,0.1845,0.2104
0,11,0.7372,0.1012,1,0,0.4948,0.3863,0.1839,0.1519,0.1019,0.1554,0.148,0.1352,0.185,0.2128
0,12,0.281,0.03688,0.9,0.1,0.8113,0.3894,0.1845,0.1513,0.1012,0.1562,0.1488,0.1373,0.1855,0.215
0,13,0.1759,0.02069,0.8,0.2,0.8669,0.3921,0.185,0.1506,0.1006,0.1569,0.1495,0.1391,0.1859,0.2172
0,14,0.218,0.02901,0.8,0.2,0.8361,0.3945,0.1855,0.1499,0.1001,0.1572,0.1502,0.1407,0.1863,0.2192
0,15,0.2036,0.02163,0.9,0.1,0.8491,0.3997,0.1859,0.1489,0.09916,0.1576,0.1472,0.1394,0.187,0.2234
0,16,0.3129,0.03869,0.7,0.3,0.7441,0.4015,0.1863,0.1486,0.09876,0.1592,0.1482,0.1411,0.1873,0.2249
0,17,0.1638,0.01638,0.8,0.2,0.8829,0.403,0.1867,0.1483,0.0984,0.1606,0.1492,0.1428,0.1875,0.2263
0,18,0.2539,0.03231,0.6,0.4,0.7919,0.4044,0.187,0.148,0.09807,0.1619,0.1501,0.1443,0.1878,0.2276
0,19,0.4121,0.05535,0.8,0.2,0.7027,0.4057,0.1873,0.1475,0.09778,0.162,0.1507,0.1455,0.188,0.2288
