|Run,$Params,#FirstZero,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#AssocToOut2,#OutToAssoc,#SharedHiddenToHid,#SharedHiddenToHid2,#HidToSharedHidden,#Hid2ToSharedHidden
0,Base,25,0,0,0,1,0.9989,0,0,0,0,0,0
0,Base,49,0,0,0,1,0.9996,1,0,0,0,0,0
0,Base,34,0,0,0,1,0.9982,1,1,0,0,0,0
0,Base,31,0,0,0,1,0.9989,1.5,1,0,0,0,0
0,Base,31,0,0,0,1,0.9989,1.5,1.5,0,0,0,0
0,Base,29,0,0,0,1,0.999,0.5,0.5,0,0,0,0
0,Base,29,0,0,0,1,0.9994,0.7,0.3,0,0,0,0
0,Base,24,0,0,0,1,0.9995,0.85,0.1,0,0,0,0
0,Base,23,0,0,0,1,0.9993,0.1,0.1,0,0,0,0
0,Base,31,0,0,0,1,0.9994,0.15,0.1,0,0,0,0
0,Base,31,0,0,0,1,0.9994,0.15,0.8,0,0,0,0
0,Base,30,0,0,0,1,0.9971,0.3,1.2,0,0,0,0
0,Base,17,0,0,0,1,0.9982,0.6,1.2,0,0,0,0
0,Base,17,0,0,0,1,0.9982,0.6,1.7,0,0,0,0
0,Base,29,0,0,0,1,0.999,0.75,0.3,0,0,0,0
0,Base,16,0,0,0,1,0.9993,1.2,0.3,0,0,0,0
0,Base,16,0,0,0,1,0.9993,1.2,0.6,0,0,0,0
0,Base,16,0,0,0,1,0.9993,1.2,0.9,0,0,0,0
0,Base,16,0,0,0,1,0.9993,1.2,1.1,0,0,0,0
0,Base,16,0,0,0,1,0.9993,1.2,1.4,0,0,0,0
0,Base,16,0,0,0,1,0.9993,1.2,1.9,0,0,0,0
0,Base,14,0,0,0,1,0.9996,2,2,0,0,0,0
0,Base,39,0,0,0,1,0.9991,0.2,0.2,0,0,0,0
0,Base,32,0,0,0,1,0.998,0.4,0.2,0,0,0,0
0,Base,17,0,0,0,1,0.9982,0.6,0.2,0,0,0,0
0,Base,16,0,0,0,1,0.9985,0.8,0.2,0,0,0,0
0,Base,34,0,0,0,1,0.9982,1,1,0,0,0,0
0,Base,16,0,0,0,1,0.9993,1.2,1,0,0,0,0
0,Base,29,0,0,0,1,0.9984,1.4,1,0,0,0,0
0,Base,33,0,0,0,1,0.9993,1.6,1,0,0,0,0
0,Base,14,0,0,0,1,0.9969,1.8,1,0,0,0,0
0,Base,14,0,0,0,1,0.9996,2,1,0,0,0,0
0,Base,34,0,0,0,1,0.9982,1,1.2,0,0,0,0
0,Base,34,0,0,0,1,0.9982,1,1.4,0,0,0,0
0,Base,34,0,0,0,1,0.9982,1,1.6,0,0,0,0
0,Base,34,0,0,0,1,0.9982,1,1.8,0,0,0,0
0,Base,34,0,0,0,1,0.9982,1,1.9,0,0,0,0
0,Base,29,0,0,0,1,0.999,0.5,0.1,0,0,0,0
0,Base,29,0,0,0,1,0.999,0.5,0.3,0,0,0,0
0,Base,29,0,0,0,1,0.999,0.5,0.7,0,0,0,0
0,Base,29,0,0,0,1,0.999,0.5,0.9,0,0,0,0
0,Base,29,0,0,0,1,0.999,0.5,1.1,0,0,0,0
0,Base,29,0,0,0,1,0.999,0.5,1.3,0,0,0,0
0,Base,29,0,0,0,1,0.999,0.5,1.7,0,0,0,0
0,Base,23,0,0,0,1,0.9993,0.1,0.5,0,0,0,0
0,Base,30,0,0,0,1,0.9971,0.3,0.5,0,0,0,0
0,Base,29,0,0,0,1,0.9994,0.7,0.5,0,0,0,0
0,Base,16,0,0,0,1,0.998,0.9,0.5,0,0,0,0
0,Base,16,0,0,0,1,0.9972,1.1,0.5,0,0,0,0
0,Base,15,0,0,0,1,0.9985,1.3,0.5,0,0,0,0
0,Base,31,0,0,0,1,0.9989,1.5,0.5,0,0,0,0
0,Base,23,0,0,0,1,0.9988,1.7,0.5,0,0,0,0
0,Base,27,0,0,0,1,0.9969,1.9,0.5,0,0,0,0
0,Base,35,0,0,0,1,0.999,0.25,1.2,0,0,0,0
0,Base,35,0,0,0,1,0.999,0.25,1.75,0,0,0,0
0,Base,25,0,0,0,1,0.9989,0,2,0,0,0,0
0,Base,35,0,0,0,1,0.9998,2,0,0,0,0,0
0,Base,49,0,0,0,1,0.9996,1,0,0,0,0,0
0,Base,25,0,0,0,1,0.9989,0,1,0,0,0,0
0,Base,25,0,0,0,1,0.9899,2,1,0,0,0,0
0,Base,14,0,0,0,1,0.9996,2,1,0,0,0,0
0,Base,34,0,0,0,1,0.9982,1,2,0,0,0,0
