_H:	$Name	%Letter Input[2:0,0]<2:7,5>	%Letter Input[2:0,1]	%Letter Input[2:0,2]	%Letter Input[2:0,3]	%Letter Input[2:0,4]	%Letter Input[2:1,0]	%Letter Input[2:1,1]	%Letter Input[2:1,2]	%Letter Input[2:1,3]	%Letter Input[2:1,4]	%Letter Input[2:2,0]	%Letter Input[2:2,1]	%Letter Input[2:2,2]	%Letter Input[2:2,3]	%Letter Input[2:2,4]	%Letter Input[2:3,0]	%Letter Input[2:3,1]	%Letter Input[2:3,2]	%Letter Input[2:3,3]	%Letter Input[2:3,4]	%Letter Input[2:4,0]	%Letter Input[2:4,1]	%Letter Input[2:4,2]	%Letter Input[2:4,3]	%Letter Input[2:4,4]	%Letter Input[2:5,0]	%Letter Input[2:5,1]	%Letter Input[2:5,2]	%Letter Input[2:5,3]	%Letter Input[2:5,4]	%Letter Input[2:6,0]	%Letter Input[2:6,1]	%Letter Input[2:6,2]	%Letter Input[2:6,3]	%Input[2:6,4]	%Letter Output[2:0,0]<2:5,2>	%Letter Output[2:1,0]	%Letter Output[2:2,0]	%Letter Output[2:3,0]	%Letter Output[2:4,0]	%Letter Output[2:0,1]	%Letter Output[2:1,1]	%Letter Output[2:2,1]	%Letter Output[2:3,1]	%Letter Output[2:4,1]	%Music Input[2:0,0]	%Music Input[2:0,1]	%Music Input[2:0,2]	%Music Input[2:0,3]	%Music Input[2:0,4]	%Music Output[2:0,0]	%Music Output[2:0,1]	%Music Output[2:0,2]	%Music Output[2:0,3]	%Music Output[2:0,4]
_D:	A	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9
_D:	B	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9
_D:	C	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9
_D:	D	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9
_D:	E	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9
_D:	F	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	9	9	9	9	9	9	9	9	9	9
_D:	G	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	9	9	9	9	9	9	9	9	9	9
_D:	H	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	9	9	9	9	9	9	9	9	9	9
_D:	I	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	9	9	9	9	9	9	9	9	9	9
_D:	J	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	9	9	9	9	9	9	9	9	9	9
