|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Hidden Context ActAvg,#Music Hidden ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,0,1.438,0.2024,1,0,-0.01402,0.3025,0.1715,0.1687,0.1204,0.1521,0.1629,0.1715,0.1711
0,1,1.292,0.1786,1,0,0.017,0.3136,0.1733,0.1665,0.1179,0.1522,0.1642,0.1733,0.1755
0,2,1.142,0.1596,1,0,0.1412,0.3235,0.1749,0.1644,0.1158,0.1525,0.1655,0.1749,0.1796
0,3,1.195,0.164,1,0,0.1072,0.3325,0.1763,0.1626,0.1138,0.1527,0.1667,0.1763,0.1833
0,4,1.107,0.1512,1,0,0.1647,0.3407,0.1777,0.1608,0.112,0.153,0.1678,0.1777,0.1866
0,5,0.8738,0.1191,1,0,0.3157,0.3557,0.1788,0.158,0.1089,0.1517,0.1634,0.1799,0.1893
0,6,0.6817,0.08908,1,0,0.4568,0.3617,0.1799,0.1564,0.1076,0.1518,0.1649,0.1809,0.1917
0,7,0.7676,0.09954,0.8,0.2,0.4613,0.367,0.1809,0.155,0.1064,0.1518,0.1663,0.1817,0.194
0,8,0.7169,0.09158,0.8,0.2,0.4573,0.3719,0.1817,0.1536,0.1053,0.1519,0.1675,0.1825,0.1961
0,9,0.5455,0.07054,0.8,0.2,0.5595,0.3763,0.1825,0.1525,0.1043,0.1521,0.1686,0.1832,0.1981
0,10,0.2858,0.04091,0.7,0.3,0.7109,0.3852,0.1832,0.1509,0.1026,0.1511,0.1643,0.1845,0.1987
0,11,0.2088,0.0265,0.6,0.4,0.7543,0.3883,0.1839,0.15,0.1019,0.1514,0.1657,0.185,0.2007
0,12,0.3481,0.04319,0.9,0.1,0.7165,0.3911,0.1845,0.1494,0.1012,0.1524,0.1669,0.1855,0.2026
0,13,0.4788,0.05833,1,0,0.6474,0.3937,0.185,0.1488,0.1006,0.1535,0.1681,0.1859,0.2046
0,14,0.6914,0.08582,0.9,0.1,0.5021,0.396,0.1855,0.1481,0.1001,0.1545,0.1693,0.1863,0.2065
0,15,0.3264,0.04139,0.8,0.2,0.7044,0.4022,0.1859,0.1474,0.09916,0.1553,0.1651,0.187,0.2085
0,16,0.3074,0.03958,0.8,0.2,0.757,0.4037,0.1863,0.1469,0.09876,0.156,0.1665,0.1873,0.2106
0,17,0.1726,0.02114,0.8,0.2,0.8587,0.405,0.1867,0.1465,0.0984,0.1567,0.1678,0.1875,0.2126
0,18,0.2613,0.03163,0.6,0.4,0.7849,0.4063,0.187,0.1462,0.09807,0.1573,0.169,0.1878,0.2146
0,19,0.3743,0.04578,0.8,0.2,0.7337,0.4074,0.1873,0.1458,0.09778,0.1578,0.17,0.188,0.2165
0,20,0.3052,0.03847,0.8,0.2,0.7844,0.414,0.1875,0.1459,0.09727,0.1576,0.1663,0.1883,0.2179
0,21,0.1858,0.02358,0.7,0.3,0.8483,0.4144,0.1878,0.1454,0.09706,0.1579,0.1676,0.1885,0.2197
0,22,0.05086,0.005086,0.3,0.7,0.9306,0.4147,0.188,0.145,0.09686,0.1582,0.1687,0.1886,0.2213
0,23,0.04784,0.004784,0.3,0.7,0.9348,0.415,0.1882,0.1445,0.09668,0.1584,0.1698,0.1888,0.2228
0,24,0.2013,0.02674,0.2,0.8,0.8381,0.4153,0.1883,0.1442,0.09652,0.1586,0.1708,0.1889,0.2241
0,25,0.1231,0.01824,0.2,0.8,0.8724,0.422,0.1885,0.1442,0.09624,0.1579,0.1668,0.1891,0.2255
0,26,0.02962,0.002962,0.2,0.8,0.953,0.4216,0.1886,0.1439,0.09613,0.1581,0.1681,0.1892,0.2266
0,27,0.02936,0.002936,0.2,0.8,0.9517,0.4212,0.1888,0.1435,0.09602,0.1583,0.1692,0.1893,0.2277
0,28,0.01303,0.001303,0.1,0.9,0.9589,0.4209,0.1889,0.1432,0.09592,0.1584,0.1703,0.1893,0.2286
0,29,0,0,0,1,0.9634,0.4206,0.189,0.1429,0.09583,0.1585,0.1712,0.1894,0.2295
0,30,0,0,0,1,0.9654,0.4264,0.1891,0.1438,0.09568,0.158,0.1673,0.1895,0.2303
0,31,0,0,0,1,0.9672,0.4256,0.1892,0.1435,0.09562,0.1583,0.1685,0.1896,0.2311
0,32,0,0,0,1,0.9696,0.4248,0.1893,0.1432,0.09556,0.1584,0.1696,0.1896,0.2317
0,33,0,0,0,1,0.9722,0.4241,0.1893,0.1429,0.0955,0.1586,0.1706,0.1896,0.2324
0,34,0,0,0,1,0.9767,0.4235,0.1894,0.1427,0.09546,0.1588,0.1716,0.1897,0.2329
0,35,0.03305,0.003305,0.1,0.9,0.9666,0.4273,0.1895,0.1434,0.09537,0.1582,0.1675,0.1897,0.2327
0,36,0,0,0,1,0.9766,0.4264,0.1895,0.1432,0.09534,0.1584,0.1687,0.1898,0.2333
0,37,0,0,0,1,0.9773,0.4255,0.1896,0.143,0.0953,0.1586,0.1698,0.1898,0.2338
0,38,0,0,0,1,0.9792,0.4248,0.1896,0.1428,0.09528,0.1588,0.1708,0.1898,0.2342
0,39,0,0,0,1,0.982,0.4241,0.1896,0.1427,0.09525,0.159,0.1717,0.1898,0.2346
0,40,0,0,0,1,0.9824,0.4292,0.1897,0.1432,0.0952,0.1585,0.1678,0.1899,0.2349
0,41,0,0,0,1,0.9853,0.4282,0.1897,0.1431,0.09518,0.1587,0.169,0.1899,0.2352
0,42,0,0,0,1,0.9859,0.4272,0.1897,0.1429,0.09517,0.1589,0.1701,0.1899,0.2356
0,43,0,0,0,1,0.987,0.4263,0.1898,0.1428,0.09515,0.1591,0.171,0.1899,0.2359
0,44,0,0,0,1,0.9874,0.4255,0.1898,0.1427,0.09514,0.1593,0.1719,0.1899,0.2362
0,45,0,0,0,1,0.9877,0.4256,0.1898,0.1436,0.09511,0.1593,0.1677,0.1899,0.2362
0,46,0,0,0,1,0.9874,0.4248,0.1898,0.1435,0.0951,0.1595,0.1689,0.1899,0.2364
0,47,0,0,0,1,0.9892,0.4242,0.1898,0.1433,0.09509,0.1596,0.17,0.1899,0.2367
0,48,0,0,0,1,0.9897,0.4236,0.1899,0.1431,0.09508,0.1598,0.171,0.1899,0.2369
0,49,0,0,0,1,0.9902,0.423,0.1899,0.143,0.09507,0.1599,0.1718,0.1899,0.2371
0,50,0,0,0,1,0.9908,0.4255,0.1899,0.1431,0.09506,0.1585,0.1669,0.19,0.2353
0,51,0,0,0,1,0.9914,0.4247,0.1899,0.1429,0.09506,0.1588,0.1682,0.19,0.2357
0,52,0,0,0,1,0.9911,0.4241,0.1899,0.1428,0.09505,0.159,0.1693,0.19,0.236
0,53,0,0,0,1,0.9915,0.4235,0.1899,0.1427,0.09505,0.1592,0.1703,0.19,0.2363
0,54,0,0,0,1,0.9914,0.4229,0.1899,0.1426,0.09504,0.1593,0.1713,0.19,0.2366
0,55,0,0,0,1,0.992,0.4247,0.1899,0.1426,0.09503,0.158,0.1666,0.19,0.2356
0,56,0,0,0,1,0.9919,0.424,0.1899,0.1425,0.09503,0.1583,0.1679,0.19,0.236
0,57,0,0,0,1,0.9928,0.4234,0.1899,0.1424,0.09503,0.1585,0.169,0.19,0.2363
0,58,0,0,0,1,0.993,0.4229,0.1899,0.1424,0.09502,0.1588,0.1701,0.19,0.2366
0,59,0,0,0,1,0.9925,0.4224,0.19,0.1423,0.09502,0.1589,0.171,0.19,0.2369
0,60,0,0,0,1,0.9935,0.425,0.19,0.1424,0.09502,0.1579,0.1664,0.19,0.2361
0,61,0,0,0,1,0.9935,0.4243,0.19,0.1424,0.09502,0.1581,0.1677,0.19,0.2364
0,62,0,0,0,1,0.994,0.4237,0.19,0.1423,0.09501,0.1584,0.1689,0.19,0.2367
0,63,0,0,0,1,0.9943,0.4231,0.19,0.1423,0.09501,0.1586,0.17,0.19,0.237
0,64,0,0,0,1,0.9935,0.4226,0.19,0.1422,0.09501,0.1589,0.1709,0.19,0.2372
0,65,0,0,0,1,0.9947,0.4244,0.19,0.1423,0.09501,0.1576,0.1662,0.19,0.2353
